Strategy,Category,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Overall Mean,Std Dev,Min,Max
GradientMetaLearner,Adaptive,2.8605,1.7941,1.2647,,,1.9731,0.6636,1.2647,2.8605
QLearning,Adaptive,3.4545,2.3380,1.4696,1.1000,,2.0905,0.9067,1.1000,3.4545
ThompsonSampling,Adaptive,3.1333,2.4143,1.4643,,,2.3373,0.6836,1.4643,3.1333
Claude4-Sonnet_T02,Anthropic,2.2895,1.9500,1.0556,,,1.7650,0.5205,1.0556,2.2895
Claude4-Sonnet_T05,Anthropic,2.3243,1.6591,,,,1.9917,0.3326,1.6591,2.3243
Claude4-Sonnet_T08,Anthropic,2.2000,1.5676,,,,1.8838,0.3162,1.5676,2.2000
Alternator,Classical,2.2439,1.5405,,,,1.8922,0.3517,1.5405,2.2439
Bayesian,Classical,2.2121,1.8571,1.0000,,,1.6898,0.5088,1.0000,2.2121
Detective,Classical,2.0698,1.7368,0.7500,,,1.5189,0.5604,0.7500,2.0698
ForgivingGrimTrigger,Classical,2.0303,,,,,2.0303,0.0000,2.0303,2.0303
GenerousTitForTat,Classical,1.9412,,,,,1.9412,0.0000,1.9412,1.9412
Gradual,Classical,2.1143,1.6486,,,,1.8815,0.2328,1.6486,2.1143
GrimTrigger,Classical,2.0323,,,,,2.0323,0.0000,2.0323,2.0323
Prober,Classical,2.0000,,,,,2.0000,0.0000,2.0000,2.0000
Random,Classical,2.6757,2.1471,1.2069,,,2.0099,0.6074,1.2069,2.6757
SoftGrudger,Classical,2.0323,,,,,2.0323,0.0000,2.0323,2.0323
SuspiciousTitForTat,Classical,3.2368,2.5467,1.8286,1.3257,1.1126,2.0101,0.7874,1.1126,3.2368
TitForTat,Classical,2.4167,1.6667,,,,2.0417,0.3750,1.6667,2.4167
WinStayLoseShift,Classical,2.2558,1.6667,,,,1.9612,0.2946,1.6667,2.2558
Gemini25Pro_T02,Gemini,3.4615,2.6800,1.9333,1.2216,1.1864,2.0966,0.8745,1.1864,3.4615
Gemini25Pro_T07,Gemini,3.2105,2.5493,1.9159,1.3018,1.0957,2.0146,0.7847,1.0957,3.2105
Gemini25Pro_T12,Gemini,3.5000,2.6301,1.7767,1.2400,1.3133,2.0920,0.8607,1.2400,3.5000
Mistral-Large_T02,Mistral,2.1143,1.2105,,,,1.6624,0.4519,1.2105,2.1143
Mistral-Large_T07,Mistral,1.8919,,,,,1.8919,0.0000,1.8919,1.8919
Mistral-Large_T12,Mistral,2.0750,1.7027,,,,1.8889,0.1861,1.7027,2.0750
GPT4o_T1,OpenAI,2.0278,,,,,2.0278,0.0000,2.0278,2.0278
GPT5_T1,OpenAI,3.0000,2.4000,1.7368,0.9750,,2.0280,0.7544,0.9750,3.0000
o3_T1,OpenAI,3.2308,2.8919,1.9000,1.1679,1.0677,2.0517,0.8796,1.0677,3.2308
