shadow_condition,agent,horizon_awareness,opponent_modeling
0.25,GPT4o_T1_p5i1,1.0,1.0
0.25,GPT5_T1_p5i1,1.0,1.0
0.25,Claude4-Sonnet_T02_p5i1,0.9779411764705882,1.0
0.25,Claude4-Sonnet_T05_p5i1,1.0,1.0
0.25,Claude4-Sonnet_T08_p5i1,1.0,1.0
0.25,Gemini25Pro_T02_p5i1,0.9528301886792453,1.0
0.25,Gemini25Pro_T07_p5i1,0.9354838709677419,1.0
0.25,Gemini25Pro_T12_p5i1,0.9142857142857143,1.0
0.25,GPT4o_T1,0.9473684210526315,1.0
0.25,GPT5_T1,0.9642857142857143,1.0
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Gemini25Pro_T02,0.975,1.0
0.25,Gemini25Pro_T07,0.9090909090909091,1.0
0.25,Gemini25Pro_T12,1.0,1.0
0.25,GPT4o_T1,1.0,1.0
0.25,GPT5_T1,0.9736842105263158,0.9736842105263158
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Gemini25Pro_T02,0.9545454545454546,1.0
0.25,Gemini25Pro_T07,1.0,1.0
0.25,Gemini25Pro_T12,0.8888888888888888,1.0
0.25,GPT4o_T1,0.8823529411764706,1.0
0.25,GPT5_T1,0.8620689655172413,1.0
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Gemini25Pro_T02,0.9583333333333334,1.0
0.25,Gemini25Pro_T07,0.9705882352941176,1.0
0.25,Gemini25Pro_T12,0.9615384615384616,1.0
